HGNC ID	Approved Symbol	Previous Symbols	Synonyms	RefSeq IDs	Entrez Gene ID(supplied by NCBI)
HGNC:100	ASIC1	ACCN2	BNaC2, hBNaC2	NM_020039	41
HGNC:1000	BCL5				603
HGNC:10000	RGS4	SCZD9		NM_005613	5999
HGNC:10001	RGS5			NM_003617	8490
HGNC:10002	RGS6				9628
HGNC:10003	RGS7			NM_002924	6000
HGNC:10004	RGS9		PERRS, RGS9L, MGC26458, MGC111763	NM_003835	8787
HGNC:10006	RHAG		RH50A, CD241, SLC42A1		6005
HGNC:10007	RHBDL1	RHBDL	RRP	NM_003961	9028
HGNC:10008	RHCE	RH	CD240CE	NM_020485	6006
HGNC:10009	RHD	RH	Rh30a, Rh4, RhPI, RhII, DIIIc, CD240D	NM_016124	6007
HGNC:1001	BCL6	ZNF51	ZBTB27, LAZ3, BCL5, BCL6A	NM_138931	604
HGNC:10010	RHEBP1	RHEB1	RHEB		6008
HGNC:10011	RHEB	RHEB2		NM_005614	6009
HGNC:10012	RHO	RP4	OPN2, CSNBAD1	NM_000539	6010
HGNC:10013	GRK1	RHOK	GPRK1, RK	NM_002929	6011
HGNC:10015	RIEG2		ARS		6012
HGNC:10017	RIT2	RIN	RIBA	NM_002930	6014
HGNC:10018	RING1		RNF1		6015
HGNC:10019	RIPK1		RIP	NM_003804	8737
HGNC:1002	BCL6B	ZNF62	ZBTB28, BAZF	NM_181844	255877
HGNC:10020	RIPK2		RICK, RIP2, CARDIAK, CARD3		8767
HGNC:10021	RIPK3		RIP3	NM_006871	11035
HGNC:10023	RIT1	RIT	RIBB, ROC1, MGC125864, MGC125865	NM_006912	6016
HGNC:10024	RLBP1		CRALBP	NM_000326	6017
HGNC:10025	RLF		ZNF292L, Zn-15L	NM_012421	6018
HGNC:10026	RLN1		H1		6013
HGNC:10027	RLN2		H2, RLXH2, bA12D24.1.1, bA12D24.1.2	NM_134441	6019
HGNC:10030	RMD1				6022
HGNC:10031	RMRP	CHH	RMRPR, RRP2, NME1	NR_003051	6023
HGNC:10034	RN5S1@	RN5S			6025
HGNC:10037	RN7SK		7SK	NR_001445	125050
HGNC:10038	RN7SL1	RN7SL	7SL, 7L1a, RNSRP1	NR_002715	6029
HGNC:10039	RN7SL4P	RN7SLP1, RN7SL427P	7L28	NG_002425	6030
HGNC:1004	BCL7A	BCL7			605
HGNC:10040	RN7SL5P	RN7SLP2, RN7SL249P	7LEM1	NG_002426	6031
HGNC:10041	RN7SL6P	RN7SLP3, RN7SL848P	7L7	NG_002427	6032
HGNC:10042	RN7SL7P	RN7SLP4, RN7SL27P	7L23	NG_002428	6033
HGNC:10043	RN7SL8P	RN7SLP5, RN7SL433P	7L63	NG_002429	6034
HGNC:10044	RNASE1	RNS1			6035
HGNC:10045	RNASE2	RNS2	EDN		6036
HGNC:10046	RNASE3	RNS3	ECP	NM_002935	6037
HGNC:10047	RNASE4				6038
HGNC:10048	RNASE6	RNS6			6039
HGNC:10049	RNASEH1P1	RNASEH1	RNH1		284203
HGNC:1005	BCL7B			NM_001707	9275
HGNC:10050	RNASEL	RNS4, PRCA1		NM_021133	6041
HGNC:10055	RNF10		KIAA0262, RIE2		9921
HGNC:10056	RNF11		CGI-123, Sid1669p, MGC51169	NM_014372	26994
HGNC:10057	RNF13		RZF	NM_183384	11342
HGNC:10058	RNF14		ARA54, HFB30, TRIAD2	NM_004290	9604
HGNC:10059	TRIM38	RNF15	RORET		10475
HGNC:1006	BCL7C			NM_004765	9274
HGNC:10060	RNF17	TDRD4	Mmip-2, SPATA23, FLJ11045	NM_031994	56163
HGNC:10061	RNF2		BAP-1, BAP1, DING, HIPI3, RING1B, RING2	NM_007212	6045
HGNC:10062	RNF20		FLJ20382, FLJ11189, KAIA2779, BRE1A, hBRE1, BRE1	NM_019592	56254
HGNC:10063	TRIM34	RNF21		NM_001003827	53840
HGNC:10064	TRIM3	RNF22	HAC1, BERP, RNF97	NM_006458	10612
HGNC:10065	TRIM39	RNF23		NM_172016	56658
HGNC:10066	PCGF3	RNF3	FLJ36550, DONG1, RNF3A, MGC40413	NM_006315	10336
HGNC:10067	RNF4		RES4-26, SNURF, SLX5	NM_002938	6047
HGNC:10068	RNF5		NG2, G16, RING5, RMA1	NM_006913	6048
HGNC:10069	RNF6		DKFZp686P0776	NM_005977	6049
HGNC:1007	NBEAP1	BCL8	BCL8A	NR_027992	606
HGNC:10070	RNF7		SAG, ROC2, CKBBP1	NM_014245	9616
HGNC:10071	RNF8		KIAA0646		9025
HGNC:10072	TRIM10	RNF9	RFB30, HERF1		10107
HGNC:10073	RNGTT		HCE, HCE1, hCAP		8732
HGNC:10074	RNH1	RNH	RAI	NM_203389	6050
HGNC:10075	RNMT		RG7MT1	NM_003799	8731
HGNC:10078	RNPEP			NM_020216	6051
HGNC:10079	RNPEPL1			NM_018226	57140
HGNC:1008	BCL9			NM_004326	607
HGNC:10080	RNPS1			NM_080594	10921
HGNC:10082	RNR1				6052
HGNC:10083	RNR2				6053
HGNC:10084	RNR3				6054
HGNC:10085	RNR4				6055
HGNC:10086	RNR5				6056
HGNC:10096	SNORD80	RNU100	Z15, U80	NR_003940	26774
HGNC:10097	SNORD4A	RNU101A	Z17A, mgh18S-121	NR_000010	26773
HGNC:10098	SNORD4B	RNU101B	Z17B	NR_000009	26772
HGNC:10099	SNORD102	RNU102	U102	NR_002574	26771
HGNC:101	ASIC3	ACCN3	TNaC1, DRASIC	NM_004769	9311
HGNC:10100	SNORD79	RNU103	Z22, U79	NR_003939	26770
HGNC:10101	SNORD81	RNU104	Z23, U81	NR_003938	26769
HGNC:10103	RNU105B		E1-2	NR_004386	26767
HGNC:10104	RNU105C		E1-5, E1-6, U105C	NR_004385	26766
HGNC:10105	SNORD12C	RNU106, SNORD106	U106	NR_002433	26765
HGNC:10106	SNORA63	RNE3, RNU107	E3, E3-2	NR_002586	6043
HGNC:10107	SNORA62	RNE2, RNU108	E2, E2-1	NR_002324	6044
HGNC:10108	RNU11		U11, RNU11-1	NR_004407	26824
HGNC:10109	RNU12-2P	RNU12, RNU12P	U12	NG_013273	26823
HGNC:10110	SNORD13P1	RNU13P1	U13, U13.32A		6076
HGNC:10111	SNORD13P2	RNU13P2	U13, U13.12A		6077
HGNC:10112	SNORD13P3	RNU13P3	U13, U13.4B		6078
HGNC:10113	SNORD14A	RNU14	U14, RNU14A	NR_000022	26822
HGNC:10114	SNORD15A	RNU15A	U15A	NR_000005	6079
HGNC:10115	SNORA73A	RNE1, RNU17A	U17A, E1-7, E1b, E1	NR_002907	6080
HGNC:10116	SNORA73B	RNU17B, RNU105A	U17B, E1c	NR_004406	6081
HGNC:10118	SNHG3	RNU17D, RNU17C	U17HG, U17HG-A, NCRNA00014	NR_002909.1	8420
HGNC:10119	SNORA74A	RNU19	U19	NR_002915	26821
HGNC:1012	OPN1SW	BCP	BOP, CBT	NM_001708	611
HGNC:10120	RNU1-1	RNU1, RNU1G4, RNU1A3, RNU1A	Rnu1a1, U1, HU1-1, U1A1, HSD1	NR_004430	26871
HGNC:10123	RNU1-2	RNU1C1, RNU1C2	U1C1, U1C21	NR_004427	26870
HGNC:10128	RNU1-4	RNU1E2, RNU1G2, RNU1D2, RNU1F1, RNU1G1	HSD6, U1E2, HSD2, U1D2, HSD5, U1B2, U1F, HSD7	NR_004421	6060
HGNC:10130	RNU1-3	RNU1G3	HSD4	NR_004408	26869
HGNC:10133	RNVU1-1	RNU1P10, RNU1-10P	vU1.1, U1P14, U1.4	NG_001259	
